BJD,Radial_Velocity,Radial_Velocity_Uncertainty
2.45450938633e6,18923.1,8.8
2.45450953836e6,19084.5,11.2
2.45451040255e6,18849.7,10.2
2.45451129105e6,18939.4,8.2
2.45451136791e6,18900.8,9.0
2.45451140825e6,18858.2,9.0
2.45451153661e6,18894.5,10.8
2.45451228835e6,19064.8,8.8
2.45451230278e6,19042.9,8.4
2.4545123157e6,19029.8,9.6
2.45451232867e6,19006.4,9.0
2.45451234174e6,18997.3,8.8
2.4545123547e6,18977.8,8.6
2.45451240579e6,18917.6,9.0
2.45451243225e6,18912.4,8.8
2.45451244721e6,18893.6,8.6
2.45451332972e6,19095.7,12.8
2.45451430357e6,19210.5,13.0
2.4545152722e6,19321.3,10.6
2.4545164021e6,19296.1,12.8
2.45451943071e6,19196.8,8.8
